title,genre,Tag Count,Tags
John Adams,Classics,7,"Classics, History, War, Biography, Biography & Autobiography, Politics, Presidents"
"The Lion, the Witch and the Wardrobe: A Graphic Novel",Fantasy,5,"Fantasy, Young Adult, Adventure, Classics, Comics"
The Year of Magical Thinking,Fiction,7,"Classics, Biography, Biography & Autobiography, Family, Family & Relationships, Drama, Grief"
Beautiful Creatures,Fiction,7,"Fantasy, Young Adult, Adventure, History, Romance, Young Adult Fiction, Dreams"
The Luminaries,Fiction,2,"Fantasy, Criminal investigation"
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Nonfiction,5,"Nonfiction, Business & Economics, Science, political science, Algorithms"
Candle in the Window,Unknown,1,nan
Song of Solomon,Fiction,5,"Classics, Family, African Americans, African American families, Spanish literature"
Ronja Räubertochter,Unknown,1,nan
The Warmth of Other Suns: The Epic Story of America's Great Migration,History,2,"History, African Americans"
"Oh, The Places You’ll Go!",Fiction,8,"Fantasy, Young Adult, Adventure, Classics, Philosophy, Fiction, Poetry, Children's stories"
Inkdeath,Fiction,5,"Fantasy, Young Adult, Adventure, Magic, Children"
Ready Player One,Science fiction,10,"Fiction, Science fiction, Fantasy, Young Adult, Adventure, Dystopian, Juvenile Fiction, dystopian, Technology, Action and adventure"
Men Explain Things to Me,Nonfiction,7,"Nonfiction, Fiction, Women, social science, political science, Feminism, Essays"
A Swiftly Tilting Planet,Fantasy,7,"Fantasy, Fiction, Science fiction, Young Adult, Adventure, Classics, Literature"
Poetics,Classics,6,"Classics, History, Philosophy, Literature, Poetry, literary criticism"
Rosemary and Rue,Fiction,5,"Fantasy, Young Adult, Adventure, Mystery, Murder"
Midnight Riot,Fiction,6,"Fantasy, Young Adult, Adventure, Science fiction, Police, Urban Fantasy"
Their Eyes Were Watching God,Fiction,7,"Classics, Young Adult, Romance, Psychology, Women, African Americans, Historical Fiction"
Landline,Fiction,4,"Fantasy, Young Adult, Science fiction, Romance"
Sabrina,Comics,2,"Comics, Comics & Graphic Novels"
Under the Banner of Heaven: A Story of Violent Faith,Nonfiction,4,"Nonfiction, Murder, True crime, Crime"
Dr. Seuss's ABC,Fantasy,4,"Fantasy, Young Adult, Classics, Children"
Practical Demonkeeping,Fiction,3,"Fantasy, Adventure, Science fiction"
Black Like Me,Classics,6,"Classics, History, Biography, Religion, Biography & Autobiography, African Americans"
The Crystal Shard,Fiction,5,"Fantasy, Young Adult, Adventure, Science fiction, Fantasy fiction"
Infinity's Shore,Fiction,6,"Fantasy, Adventure, Science fiction, War, Space, Aliens"
The Last Voice You Hear,Fiction,1,Murder
"Listen, Liberal",Nonfiction,2,"Politics, political science"
Spellcast,Unknown,1,nan
The Trial,Fiction,7,"Fantasy, Classics, Science fiction, Dystopian, Psychology, Literature, Literary Collections"
Purple Hibiscus,Fiction,3,"Young Adult, Classics, Romance"
Blankets,Fiction,5,"Young Adult, Comics, Comics & Graphic Novels, Family, Graphic novels"
Who Moved My Cheese?,Psychology & Self-help,8,"Fiction, Young Adult, Classics, Nonfiction, Philosophy, Business & Economics, Psychology, Self-Help"
Futuristic Violence and Fancy Suits,Fantasy,4,"Fantasy, Adventure, Science fiction, Dystopian"
Travels with Myself and Another,Action & Adventure,3,"Adventure, Classics, War"
Heart of Darkness,Fiction,8,"Classics, Young Adult, Adventure, History, Comics, War, Romance, Mystery"
Horus Rising,Fiction,8,"Fantasy, Adventure, Science fiction, War, Dystopian, Space, Brothers, Emperors"
The Queen's Gambit,Fiction,4,"Young Adult, Classics, Suspense, Chess"
Flatland,Fiction,7,"Fantasy, Classics, Science fiction, Dystopian, Science, Literature, Historical Fiction"
The Skies of Pern,Fantasy,5,"Fantasy, Young Adult, Adventure, Science fiction, Space"
The Demolished Man,Fiction,7,"Fantasy, Adventure, Classics, Science fiction, Dystopian, Space, American"
We Were Liars,Fiction,7,"Young Adult, Romance, Mystery, Young Adult Fiction, Friendship, Family, Amnesia"
1812: The War That Forged a Nation,History,3,"History, War, Nonfiction"
Less,Fiction,2,"LGBTQ, Fiction"
The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Business & Economics,2,"Business & Economics, Business"
A Study in Charlotte,Young Adult,8,"Fiction, Adventure, Romance, Young Adult Fiction, Mystery, Murder, Family, Boarding school"
Why We Sleep: Unlocking the Power of Sleep and Dreams,Science,5,"Science, Nonfiction, Psychology, Health & Fitness, Dreams"
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nonfiction,6,"Nonfiction, Business & Economics, Science, Business, Finance, Chance"
Soulless,Fiction,7,"Fantasy, Young Adult, Adventure, Science fiction, History, Comics, Romance"
The Reptile Room,Young Adult,7,"Fiction, Fantasy, Adventure, Classics, Fiction, Children, Adventure stories"
The Austere Academy,Fiction,7,"Fantasy, Young Adult, Adventure, Classics, Mystery, Fiction, Middle Grade"
The Sisters Brothers,Fiction,3,"Adventure, Historical Fiction, Brothers"
Drawing on the right side of the brain workbook,Unknown,1,nan
The Marvelous Land of Oz,Fantasy,4,"Fantasy, Young Adult, Adventure, Classics"
Gathering Blue,Fantasy,9,"Fantasy, Young Adult, Fiction, Science fiction, Adventure, Classics, Dystopian, Young Adult Fiction, Middle Grade"
The Colour of Magic,Fiction,7,"Fantasy, Adventure, Young Adult, Classics, Science fiction, Comics, Fiction"
Fortress of Ice,Fantasy,3,"Fantasy, Adventure, Science fiction"
Ant Farm and Other Desperate Situations,Nonfiction,2,"Nonfiction, Fiction"
Night,Fiction,8,"Classics, Young Adult, History, Historical Fiction, War, Biography, Religion, Biography & Autobiography"
Tales from planet earth,Fiction,3,"Fantasy, Classics, Science fiction"
Men We Reaped: A Memoir,Biography,2,"Biography, Biography & Autobiography"
Siege and Storm,Fiction,6,"Fantasy, Young Adult, Adventure, Dystopian, Young Adult Fiction, Magic"
The Road,Science fiction,9,"Fiction, Adventure, Fantasy, Science fiction, Dystopian, Travel, Post Apocalyptic, Fathers and sons, Apocalypse"
Junie B. Jones and the mushy gushy valentime,Fiction,1,Young Adult
"Death Note: Black Edition, Vol. 2",Fiction,5,"Fantasy, Young Adult, Comics, Comics & Graphic Novels, Graphic novels"
Emperor of Thorns,Fiction,7,"Fantasy, Young Adult, Adventure, Science fiction, Dystopian, Magic, Fantasy fiction"
Carry On,Young Adult,8,"Fantasy, Fiction, LGBTQ, Adventure, Young Adult Fiction, Magic, Boarding school, Coming of Age"
The Paper Magician,Fantasy,4,"Fantasy, Young Adult, Adventure, Science fiction"
Sadie,Fiction,4,"Young Adult, LGBTQ, Mystery, Young Adult Fiction"
Utopia for Realists: How We Can Build the Ideal World,Nonfiction,5,"Nonfiction, Philosophy, Business & Economics, Consumption (Economics), Basic income"
T is for Trespass,Fiction,1,Mystery
Interesting Times,Fiction,7,"Fantasy, Young Adult, Adventure, Science fiction, Children's stories, Drama, Fantastic fiction"
The Tombs of Atuan,Fiction,8,"Fantasy, Young Adult, Adventure, Classics, Science fiction, Magic, Children, Fantasy fiction"
Hatchet,Fiction,6,"Adventure, Classics, Young Adult, Literature, Family, Middle Grade"
The Book of Tomorrow,Fiction,2,"Fantasy, Young Adult"
Eliza and Her Monsters,Fiction,4,"Fantasy, Young Adult, Young Adult Fiction, Anonymous persons"
This is Going to Hurt: Secret Diaries of a Junior Doctor,Biography & Autobiography,10,"Nonfiction, Biography & Autobiography, Biography, Fiction, Medical, Memoir, comedy, autobiography, Health, Anecdotes"
A Wild Sheep Chase,Fiction,5,"Fantasy, Adventure, Classics, Mystery, Japanese fiction"
The Winner,Unknown,1,nan
The Sun Also Rises,Fiction,4,"Classics, History, War, Literature"
The Witches,Fiction,7,"Fantasy, Young Adult, Adventure, Classics, Fiction, Spanish, Children's stories"
Throne of Glass,Fantasy,8,"Fantasy, Young Adult, Fiction, Adventure, Mystery, Dystopian, Young Adult Fiction, Politics"
Steelheart,Fantasy,10,"Fiction, Young Adult, Fantasy, Science fiction, Adventure, Dystopian, Young Adult Fiction, Spanish, Fantasy fiction, Assassins"
3001: The Final Odyssey,Fiction,6,"Fantasy, Adventure, Classics, Science fiction, Space, alien"
Eleanor Oliphant Is Completely Fine,Fiction,2,"Romance, Friendship"
King Lear,Classics,10,"Fiction, Young Adult, Classics, History, Comics, Nonfiction, Juvenile Nonfiction, Literature, literary criticism, Drama"
Abhorsen,Fantasy,7,"Fantasy, Fiction, Young Adult, Adventure, Science fiction, Young Adult Fiction, Magic"
The Way the Future Was: A Memoir,Science fiction,1,Science fiction
India: A Wounded Civilization,Fiction,1,Travel
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Nonfiction,6,"Nonfiction, Psychology, Business & Economics, social science, Business, Decision making"
My Year of Rest and Relaxation,Fiction,1,Classics
The Tea Dragon Society,Fiction,7,"Fantasy, Young Adult, LGBTQ, Comics, Comics & Graphic Novels, Friendship, Graphic novels"
Foundryside,Fiction,6,"Fantasy, Young Adult, Adventure, Science fiction, LGBTQ, Magic"
Soulminder,Fiction,1,nan
The Body Farm,Fiction,1,nan
Paddy Clarke Ha Ha Ha,Young Adult,1,Classics
Ancillary Sword,Science fiction,8,"Fiction, Fantasy, Adventure, Science fiction, LGBTQ, Space, Aliens, Immortalism"
The Bullet Journal Method,Religion & Philosophy,4,"Philosophy, Business & Economics, Self-Help, Appointment books"
Revenger,Fiction,7,"Fantasy, Young Adult, Adventure, Science fiction, Space, Aliens, alien"
"H.P. Lovecraft's At the Mountains of Madness, Volume 1",Fantasy,7,"Fantasy, Adventure, Classics, Science fiction, Comics, Comics & Graphic Novels, Literature"
Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay,Fantasy,6,"Fantasy, Young Adult, Adventure, Magic, Art, Screenplay"
Educated: A Memoir,Biography & Autobiography,9,"Nonfiction, Biography, Biography & Autobiography, Juvenile Nonfiction, Women, Memoir, Family, Mental illness, Trauma"
Then She Was Gone,Fiction,1,Suspense
Sophie's World: A Novel about the History of Philosophy,Fiction,3,"Fantasy, Young Adult, Classics"
Duma Key,Horror,6,"Fiction, Fantasy, Mystery, Friendship, Literary Collections, Accident victims"
All the Birds in the Sky,Fiction,8,"Fantasy, Young Adult, Science fiction, LGBTQ, Romance, Dystopian, Magic, Disasters"
Cockroaches,Fiction,3,"Mystery, Murder, Police"
Breakfast at Tiffany's,Fiction,4,"Classics, Philosophy, Friendship, Humorous stories"
Attack on Titan: Before the Fall,Fantasy,6,"Fantasy, Young Adult, Adventure, Science fiction, Dystopian, Comics"
Foundation's edge,Fiction,7,"Fantasy, Adventure, Classics, Science fiction, Dystopian, Space, Life on other planets"
Allegiance,Fantasy,5,"Fantasy, Adventure, Science fiction, Space, Aliens"
The Gone World,Fiction,8,"Fantasy, Science fiction, Adventure, Dystopian, Mystery, Space, Aliens, Murder"
Nine Perfect Strangers,Fiction,1,nan
The Arctic Incident,Fiction,7,"Fantasy, Young Adult, Adventure, Science fiction, Magic, Children's stories, England"
The Dragon Reborn,Fantasy,8,"Fantasy, Fiction, Classics, Young Adult, Adventure, Science fiction, Magic, High Fantasy"
On the Come Up,Fiction,4,"Young Adult, LGBTQ, Young Adult Fiction, African Americans"
The Book of Phoenix,Fantasy,4,"Fantasy, Young Adult, Science fiction, Dystopian"
The Hollow Places,Horror,6,"Fiction, Fantasy, Adventure, Science fiction, LGBTQ, science fantasy"
Blood Meridian,Fiction,4,"Adventure, Classics, War, Native Americans"
Flag in Exile,Fiction,7,"Fantasy, Science fiction, Young Adult, Adventure, War, Space, Military"
In an Absent Dream,Fiction,4,"Fantasy, Young Adult, Adventure, LGBTQ"
God Is Not Great: The Case Against Religion,Nonfiction,4,"Nonfiction, Religion, Rationalism, God"
Speaker for the Dead,Fiction,9,"Fantasy, Science fiction, Young Adult, Adventure, Classics, Comics, Dystopian, Space, Aliens"
Smoke and Mirrors: Short Fiction and Illusions,Fantasy,5,"Fiction, Fantasy, Science fiction, Short stories, Horror"
Homegoing,Fiction,4,"History, Literature, Women, African Americans"
An American Marriage,Fiction,4,"Romance, Women, African Americans, African American families"
Bel Canto,Fiction,3,"Classics, Romance, Suspense"
Lirael,Fantasy,7,"Fantasy, Fiction, Young Adult, Adventure, Science fiction, Magic, Fantasy fiction"
Flow: The Psychology of Optimal Experience,Nonfiction,5,"Nonfiction, Philosophy, Psychology, Self-Help, Attention"
Stranger in a Strange Land,Fiction,7,"Fantasy, Science fiction, Classics, Dystopian, Religion, Space, Aliens"
Deception Point,Fiction,6,"Fantasy, Adventure, Science fiction, Suspense, Spanish, Arctic regions"
The Heart is a Lonely Hunter,Fiction,4,"Classics, Romance, Friendship, Deaf people"
Wild: From Lost to Found on the Pacific Crest Trail,Biography & Autobiography,8,"Adventure, Biography, Nonfiction, Biography & Autobiography, General, Travel, Memoir, Feminism"
The Gods Themselves,Fiction,7,"Fantasy, Adventure, Classics, Science fiction, Space, Aliens, Spanish"
Arrowsmith,Fiction,2,"Classics, Science fiction"
The Mysterious Benedict Society,Fiction,6,"Fantasy, Young Adult, Adventure, Science fiction, Friendship, Family"
Brave New World / Brave New World Revisited,Fiction,8,"Fantasy, Young Adult, Classics, Science fiction, History, Dystopian, Science, Family"
Dead to the World,Fiction,5,"Fantasy, Young Adult, Adventure, Science fiction, City and town life"
Herodotus,History,5,"History, Psychology, Literature, Science, Egypt"
Royal Assassin,Fantasy,6,"Fantasy, Fiction, Young Adult, Adventure, Assassins, High Fantasy"
Three Dark Crowns,Fantasy,6,"Fantasy, Young Adult, Adventure, Dystopian, Young Adult Fiction, Magic"
Rosewater,Fiction,4,"Fantasy, Science fiction, Dystopian, Aliens"
The Strange Case of the Alchemist's Daughter,Fiction,6,"Fantasy, Young Adult, Adventure, Science fiction, Mystery, Alchemists"
"Batman Black and White, Vol. 1",Fiction,8,"Fantasy, Young Adult, Adventure, Classics, Science fiction, Comics, Dystopian, Comics & Graphic Novels"
Mort,Fantasy,9,"Fantasy, Fiction, Adventure, Young Adult, Classics, Science fiction, Comics, Dystopian, Children's stories"
Anna and the French Kiss,Fiction,3,"Young Adult, Romance, Young Adult Fiction"
